FLT_DEP,ATD,FLT_ARR,ATA
ESR621,0752,ESR518,0443
ESR881,0814,ESR582,0516
ESR611,0918,ESR512,0548
ESR601,0921,ESR564,0645
ESR607,0927,ESR594,0807
ESR641,0954,ESR562,0846
ESR615,1011,ESR642,1340
ESR631,1202,ESR612,1353
ESR623,1508,ESR882,1406
ESR613,1535,ESR622,1430
ESR603,1544,ESR602,1435
ESR643,1553,ESR616,1459
ESR511,1756,ESR608,1531
ESR581,1815,ESR632,1727
ESR517,1823,ESR644,1917
ESR563,2004,ESR614,2017
ESR561,2140,ESR624,2121
ESR593,2217,ESR604,2211
